Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81.099.491;b3S;I;2;S4;9;PALOTINA;PR;03/2020;1.983.977;1.637.653;56.734;0;0;0;0;289.571;0;0;0;0;0;0;0;18;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;03/2020;1.961.263;1.710.163;0;90.809;0;0;4.058;127.771;0;0;0;0;0;0;28.462;0;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;03/2020;1.958.452;441.240;0;0;0;0;0;1.517.212;0;0;0;0;0;0;0;0;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;03/2020;1.934.292;1.152.094;45.096;271.405;92.275;0;0;0;306.205;0;20.125;1.010;0;35.179;10.903;0;0
BANCO MUFG BRASIL S.A.;60.498.557;b1;I;3;S3;8;SAO PAULO;SP;03/2020;1.930.233;461.719;0;6.608;21.849;0;301;520.400;0;0;0;0;0;0;919.356;0;0
BMW;51.420;n1;C;3;S4;197;SAO PAULO;SP;03/2020;1.860.472;1.860.472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGIBANK;51.956;b1;C;2;S4;199;PORTO ALEGRE;RS;03/2020;1.774.204;1.772.445;0;0;0;0;0;0;0;0;0;0;0;0;0;1.760;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;S5;9;BRASILIA;DF;03/2020;1.760.688;91.818;1.668.864;0;0;0;0;0;0;0;0;0;0;0;0;6;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;S5;9;CHAPECO;SC;03/2020;1.722.341;1.192.943;11.155;270;0;0;0;517.769;184;0;0;0;0;0;0;20;0
BANCO DIGIO S.A.;27.098.060;b2;I;3;S4;8;BARUERI;SP;03/2020;1.697.487;1.693.363;0;0;0;0;0;0;0;0;0;0;0;0;0;4.124;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;S5;9;GOIAA;GO;03/2020;1.685.916;720.372;0;0;0;0;0;934.082;0;0;31.455;0;0;0;0;6;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;S4;8;SAO PAULO;SP;03/2020;1.660.480;571.015;0;0;0;0;0;0;0;0;0;0;0;0;1.089.464;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔA LTDA. - SICOOB CREDISUL.;3.632.872;b3S;I;2;S5;9;VILHENA;RO;03/2020;1.642.396;1.539.974;31.567;0;0;0;0;70.848;0;0;0;0;0;0;0;6;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SERRO AZUL – SICREDI UÃO RS;88.894.548;b3S;I;2;S4;9;CERRO LARGO;RS;03/2020;1.637.556;1.047.028;77.867;1.678;0;0;0;510.972;0;0;0;0;0;0;0;11;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90.608.712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;03/2020;1.625.902;453.272;136.432;0;0;0;0;1.036.188;0;0;0;0;0;0;0;10;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UESTADOS;87.780.268;b3S;I;2;S4;9;ERECHIM;RS;03/2020;1.620.345;851.518;105.557;0;0;0;0;663.263;0;0;0;0;0;0;0;7;0
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55.230.916;b1;I;3;S4;8;SAO PAULO;SP;03/2020;1.579.758;1.352.623;0;0;0;0;98.102;129.034;0;0;0;0;0;0;0;0;0
BANCO A.J. RENNER S.A.;92.874.270;b1;I;2;S4;8;PORTO ALEGRE;RS;03/2020;1.570.767;1.541.856;0;0;0;0;0;28.891;0;0;0;0;0;0;0;21;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81.466.286;b3S;I;2;S4;9;PONTA GROSSA;PR;03/2020;1.558.566;1.101.581;26.256;0;0;0;0;430.715;0;0;0;0;0;0;0;13;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26.408.161;b3S;I;2;S4;9;DOURADOS;MS;03/2020;1.524.850;1.196.660;0;0;0;0;0;328.173;0;0;0;0;0;0;0;17;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO – SICREDI PLANALTO RS/MG;88.038.260;b3S;I;2;S4;9;CRUZ ALTA;RS;03/2020;1.486.419;874.450;17.788;0;0;0;0;587.516;0;0;0;0;0;6.658;2;6;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91.586.982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;03/2020;1.483.073;516.820;78.318;0;0;0;0;887.395;0;0;0;0;0;521;0;20;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42.898.825;b3S;I;2;S5;9;BELO HORIZONTE;MG;03/2020;1.433.457;389.282;0;0;0;0;0;1.044.173;0;0;0;0;0;0;0;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33.021.064;b3S;I;2;S4;9;CANARANA;MT;03/2020;1.394.347;608.907;128.714;0;0;0;23.138;633.583;0;0;0;0;0;0;0;5;0
COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;S5;9;LINHARES;ES;03/2020;1.371.760;742.235;330;0;0;0;0;629.180;0;0;0;0;0;0;0;15;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32.995.755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;03/2020;1.355.909;1.065.563;38.937;0;0;0;16.668;234.728;0;0;0;0;0;0;0;14;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32.983.165;b3S;I;2;S4;9;CAMPO VERDE;MT;03/2020;1.335.524;885.860;0;0;0;0;182.691;266.967;0;0;0;0;0;0;0;6;0
BANCO YAMAHA MOTOR DO BRASIL S.A.;10.371.492;b2;I;3;S4;8;GUARULHOS;SP;03/2020;1.331.691;1.331.685;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;S4;8;SAO PAULO;SP;03/2020;1.323.337;998.920;68.673;38.410;0;0;3.195;117.704;6.906;549;34.664;39.814;0;14.437;64;0;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;03/2020;1.281.402;90.296;0;296.543;193.895;0;0;0;249.889;0;0;257.956;0;192.823;0;0;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81.723.108;b3S;I;2;S4;9;CAMPO MOURAO;PR;03/2020;1.238.148;1.233.111;0;0;0;0;0;0;0;0;0;0;0;5.037;0;0;0
UPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2.398.976;b3S;I;2;S4;9;LONDRINA;PR;03/2020;1.230.489;615.201;0;7;0;0;0;615.068;0;0;0;0;0;212;0;1;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;S4;19;BARUERI;SP;03/2020;1.190.830;894.577;0;0;0;0;0;278.499;0;0;0;0;0;0;17.754;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UÃO MS/TO;24.654.881;b3S;I;2;S4;9;CAMPO GRANDE;MS;03/2020;1.159.898;986.963;16.148;0;0;0;107.603;49.173;0;0;0;0;0;0;0;11;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;S4;8;SAO PAULO;SP;03/2020;1.146.750;400.617;829;0;0;0;0;651.598;0;0;15.138;0;0;78;78.491;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO DO MT;26.555.235;b3S;I;2;S4;9;SORRISO;MT;03/2020;1.140.397;987.532;0;0;0;0;10.528;142.332;0;0;0;0;0;0;0;6;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;S4;30;CURITIBA;PR;03/2020;1.118.651;125.090;0;617.001;63.074;0;8.039;0;27.980;0;0;277.465;0;0;0;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE MATO-GROSSENSE E OESTE PARAENSE – SICREDI GRANDES RIOS MT/PA;37.442.605;b3S;I;2;S4;9;COLIDER;MT;03/2020;1.096.618;926.467;12.020;0;0;0;0;158.118;0;0;0;0;0;0;0;12;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC/MG;87.733.770;b3S;I;2;S4;9;RODEIO BOTO;RS;03/2020;1.093.197;548.098;65.991;0;0;0;0;479.101;0;0;0;0;0;0;0;6;0
